Participant,Model,Data_Type,Accuracy,Precision,Recall,F1-Score
1_02_09,FFNN,Raw,0.2559366754617414,0.1575164824991238,0.2559366754617414,0.16433952839844176
1_02_09,LSTM,Raw,0.23011363636363635,0.05295228564049586,0.23011363636363635,0.08609332353558681
1_02_09,CNN,Raw,0.2559366754617414,0.11881395199176266,0.2559366754617414,0.14975776489447895
1_02_09,FFNN,Emg,0.2454780361757106,0.060259466244683486,0.2454780361757106,0.09676520098212658
1_02_09,LSTM,Emg,0.22135416666666666,0.04899766710069444,0.22135416666666666,0.08023498578535891
1_02_09,CNN,Emg,0.21963824289405684,0.048240957741588715,0.21963824289405684,0.07910699426268997
2_02_09,FFNN,Angles,0.6852589641434262,0.7490999859646431,0.6852589641434262,0.6557016986528721
2_02_09,LSTM,Angles,0.21428571428571427,0.04591836734693877,0.21428571428571427,0.07563025210084033
2_02_09,CNN,Angles,0.6414342629482072,0.7506421191290225,0.6414342629482072,0.6116488045357635
2_02_09,FFNN,Raw,0.2589641434262948,0.1890820161619318,0.2589641434262948,0.1875388402472375
2_02_09,LSTM,Raw,0.24553571428571427,0.060287786989795915,0.24553571428571427,0.09680619559651818
2_02_09,CNN,Raw,0.2948207171314741,0.21599415055094373,0.2948207171314741,0.2453819452240861
2_02_09,FFNN,Emg,0.21912350597609562,0.04801511087125602,0.21912350597609562,0.0787698877691847
2_02_09,LSTM,Emg,0.25,0.0625,0.25,0.1
2_02_09,CNN,Emg,0.21912350597609562,0.04801511087125602,0.21912350597609562,0.0787698877691847
1_04_09,FFNN,Angles,0.6526315789473685,0.6914973533966668,0.6526315789473685,0.6374268361728563
1_04_09,LSTM,Angles,0.1875,0.03515625,0.1875,0.05921052631578947
1_04_09,CNN,Angles,0.631578947368421,0.7095869522553383,0.631578947368421,0.6243208523231336
1_04_09,FFNN,Raw,0.2578947368421053,0.15130434635737317,0.2578947368421053,0.17926323921899143
1_04_09,LSTM,Raw,0.2,0.04,0.2,0.06666666666666667
1_04_09,CNN,Raw,0.2,0.14456899004267426,0.2,0.12192596474773536
1_04_09,FFNN,Emg,0.19387755102040816,0.03758850478967097,0.19387755102040816,0.06296877725449154
1_04_09,LSTM,Emg,0.19791666666666666,0.03917100694444444,0.19791666666666666,0.06539855072463767
1_04_09,CNN,Emg,0.19387755102040816,0.03758850478967097,0.19387755102040816,0.06296877725449154
2_04_09,FFNN,Angles,0.5898617511520737,0.624100191189033,0.5898617511520737,0.5689998094130411
2_04_09,LSTM,Angles,0.25,0.0625,0.25,0.10000000000000002
2_04_09,CNN,Angles,0.5806451612903226,0.5823854058171192,0.5806451612903226,0.5771478334727003
2_04_09,FFNN,Raw,0.3456221198156682,0.17764103194739295,0.3456221198156682,0.22948787389897668
2_04_09,LSTM,Raw,0.28125,0.0791015625,0.28125,0.12347560975609756
2_04_09,CNN,Raw,0.3548387096774194,0.20094336472316837,0.3548387096774194,0.2388219210561496
2_04_09,FFNN,Emg,0.2171945701357466,0.047173481296451755,0.2171945701357466,0.07751181685141885
2_04_09,LSTM,Emg,0.2552083333333333,0.06513129340277778,0.2552083333333333,0.10377766251728908
2_04_09,CNN,Emg,0.21266968325791855,0.047701611198037806,0.21266968325791855,0.07792476943801595
3_04_09,FFNN,Angles,0.5535055350553506,0.4821141740829173,0.5535055350553506,0.49835673666627883
3_04_09,LSTM,Angles,0.1953125,0.03814697265625,0.1953125,0.06382761437908496
3_04_09,CNN,Angles,0.4870848708487085,0.49574284530944007,0.4870848708487085,0.4350426994258215
3_04_09,FFNN,Raw,0.24087591240875914,0.3090567516812442,0.24087591240875914,0.20771455775749467
3_04_09,LSTM,Raw,0.2265625,0.05133056640625,0.2265625,0.08369824840764331
3_04_09,CNN,Raw,0.21897810218978103,0.16539751184402995,0.21897810218978103,0.14840027985972642
3_04_09,FFNN,Emg,0.21897810218978103,0.047951409238638186,0.21897810218978103,0.07867476725381355
3_04_09,LSTM,Emg,0.23046875,0.0531158447265625,0.23046875,0.0863343253968254
3_04_09,CNN,Emg,0.2737226277372263,0.1368112352084738,0.2737226277372263,0.17853893973043414
1_05_09,FFNN,Angles,0.5580357142857143,0.5740887926905479,0.5580357142857143,0.5480144855144855
1_05_09,LSTM,Angles,0.24107142857142858,0.058115433673469385,0.24107142857142858,0.09365364850976363
1_05_09,CNN,Angles,0.6116071428571429,0.6221980907747715,0.6116071428571429,0.6028516763848397
1_05_09,FFNN,Raw,0.2775330396475771,0.22651079550414654,0.2775330396475771,0.21404738664344036
1_05_09,LSTM,Raw,0.24107142857142858,0.058115433673469385,0.24107142857142858,0.09365364850976363
1_05_09,CNN,Raw,0.2290748898678414,0.10580924958050927,0.2290748898678414,0.12929508321087665
1_05_09,FFNN,Emg,0.1762114537444934,0.031050476430747737,0.1762114537444934,0.05279743932419278
1_05_09,LSTM,Emg,0.24107142857142858,0.058115433673469385,0.24107142857142858,0.09365364850976363
1_05_09,CNN,Emg,0.17180616740088106,0.030817249758005573,0.17180616740088106,0.052260431148556975
2_05_09,FFNN,Angles,0.7007672634271099,0.7442930426489309,0.7007672634271099,0.703572160406055
2_05_09,LSTM,Angles,0.2578125,0.06646728515625,0.2578125,0.10568711180124224
2_05_09,CNN,Angles,0.5959079283887468,0.7242832626088229,0.5959079283887468,0.6015243007970076
2_05_09,FFNN,Raw,0.1984732824427481,0.11890039155541612,0.1984732824427481,0.09019005917324854
2_05_09,LSTM,Raw,0.24479166666666666,0.05992296006944444,0.24479166666666666,0.09627789400278941
2_05_09,CNN,Raw,0.2697201017811705,0.1602575503366722,0.2697201017811705,0.17077058381520227
2_05_09,FFNN,Emg,0.2285012285012285,0.052212811426570645,0.2285012285012285,0.085002457002457
